Ciudad,Bodega,Código,Nombre,Cantidad,P.Ult.Comp,Costo Lista,Tipo,Línea
P. Arenas                ,B1  ,3807833                        ,CUADERNO CALIGRAFIX HORIZONTAL 2B,15,2516,2768,A PEDIDO,EDUCACIÓN                               
P. Arenas                ,B1  ,3808053                        ,(LA.BO.PAPER MATE INKJOY 100 RT CLIK ROJO),6,103,130,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3808108                        ,PORTACREDENCIAL DURABLE DOBLE CORDON EXTENS,2,2290,2490,A PEDIDO,LIBRERÍA                                
P. Arenas                ,B1  ,3808422                        ,OJO CREATIVE SURTIDO DISTINTOS COLORES/TAMAÑO,5,545,606,DE SALIDA,DIDÁCTICOS                              
P. Arenas                ,B1  ,3808482                        ,MARCADOR SHARPIE CHISEL PERMAN/BISELAD ROJO,24,394,744,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,3808663                        ,BANDERITA TORRE 4 COLORES 160 UNIDADES,10,1570,1570,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,3809223                        ,PAPEL SPECTRA DIAZOL OFICIO AMARILLO 500HJS,4,8248,8248,STOCK,PAPELES OFICINA                         
P. Arenas                ,B1  ,3810292                        ,POST IT 3M POP UP 600HJS C/ULTRA PACK6 UND.,19,7011,7011,BLOQUEO-L,LIBRERÍA                                
P. Arenas                ,B1  ,3810467                        ,POST-IT TORRE NOTES 5 COLORES/5 TAMAÑOS,20,1711,1711,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,3810521                        ,VELA GLAM NUMERO #3 BOY CELESTE 1 UNI,1,188,0,DESCONTINUADO,DIDÁCTICOS                              
P. Arenas                ,B1  ,3810556                        ,GLOBO LISO GLAM #12 COL SURTIDOS 25 UNI,2,565,0,DESCONTINUADO,DIDÁCTICOS                              
P. Arenas                ,B1  ,3810613                        ,CARTULINA ESPAÑOLA FABRIANO 50X70 200GR AMARI,5,231,331,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3810617                        ,CARTULINA ESPAÑOLA FABRIANO 50X70 200GR VERDE,40,362,331,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3810620                        ,CARTULINA ESPAÑOLA FABRIANO 50X70 200GR ROSAD,65,280,331,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,3811100                        ,C.PROARTE CUARTA SOFT TOUCH 7MM 150HJ,5,2451,2451,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,7275604                        ,(BOLSA FACILITA MULTIUSO 35X50 100 UNIDADES),3,1590,0,DE SALIDA,ASEO                                    
P. Arenas                ,B1  ,7276193                        ,BOTA DE AGUA NEGRA TALLA 41,1,4800,4800,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7276300                        ,(OVEROL KUPFER POPLIN / REFLECTANTE AZUL T/L),2,3990,3990,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7276759                        ,PILA ENERGIZER RECARGABLE AA,4,3462,0,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7290095                        ,CINTA SELLOCINTA ANTIDES. C/FLUOR 50MM X 5MTS,3,4454,5592,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7290123                        ,PILA ELECTRONICA ENERGIZER CR2025 3V UN,1,135,180,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,7290247                        ,CANDADO ABUS BLOQUEO DIELECT 74/40KD ROJO,1,5943,5769,DE SALIDA,ASEO                                    
P. Arenas                ,B1  ,7770200                        ,TIZA PROARTE DELGADA BLANCA 12 UNIDADES,27,265,265,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770259                        ,FOLEADOR ISOFIT 6 CIFRAS,4,8695,8695,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770332                        ,LA.PORTAMINA ISOFIT 0.9 2009,29,753,753,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770344                        ,"TIJERA ISOFIT OFICINA 305 A 6 1/4"" 15CM",168,512,512,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7770786                        ,PAPEL CREPE PROARTE 50X200CM VERDE CLARO,45,225,143,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7770881                        ,CARTON PIEDRA PROARTE 2.0MM 38X55CM,4,545,545,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7770904                        ,SACAPUNTA PROARTE SIMPLE PLASTICO C/DEP TRIAN,87,173,173,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,7771101                        ,CARTULINA PROARTE 54X75 CELESTE,16,109,216,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,7771208                        ,(PAPEL CREPE PROARTE 50X200CM LILA),3,143,143,SOLO SALA,LIBRERÍA                                
P. Arenas                ,B1  ,7772363                        ,TIMBRE TRODAT 4630 REDONDO 30MM,21,11700,9286,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,7774549                        ,DISPENSADOR CINTA ADHESIVA ISOFIT MEDIANO M,2,1417,1150,STOCK,LIBRERÍA                                
P. Arenas                ,B1  ,8012088                        ,(MARCADOR SHARPIE PAINT MEDIUM NEGRO),1,907,0,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,8050546                        ,PITA PLASTICA YARUR 200GR,11,620,620,DE SALIDA,FERRETERÍA                              
P. Arenas                ,B1  ,8251527                        ,"ARCH WILSON JONES BLANCO A4 3ANILLOX2""",12,2403,2524,DE SALIDA,LIBRERÍA                                
P. Arenas                ,B1  ,8600764                        ,ENDULZANTE DAILY STEVIA LIQUIDO 400ML,21,2622,2622,STOCK,ALIMENTOS                               
P. Arenas                ,B1  ,8601766                        ,NESCAFE NESTLE DESCAFEINADO TARRO 170GR,32,4989.5,4990,STOCK,ALIMENTOS                               
P. Arenas                ,B1  ,8601789                        ,COMPOTA VIVO MIIFRUT PERA 90GR,442,264,264,A PEDIDO,ALIMENTOS                               
P. Arenas                ,B1  ,8602564                        ,CAFÉ HAITI MEZCLA EXPRESS GRANO 250GR,66,3148,4710,A PEDIDO,ALIMENTOS                               
P. Arenas                ,B1  ,8605876                        ,ARROZ MIRAFLORES GRADO 2 LARGO 1KG,52,1300,1300,A PEDIDO,ALIMENTOS                               
P. Arenas                ,B1  ,8607236                        ,GALLETA COSTA VIVO AGUA 140GR,22,460,460,STOCK,ALIMENTOS                               
